ID,Nome,Idade,Regiao,Contrato,Carteirinha,Inspecao_Medica,Primeiro_Contrato,Ultimo_Contrato,Recomendacao
23586,José Carvalho,21,Oeste,Plano de 10 anos,Desativada,Fora da validade,2024-10-01,2034-09-29,Não
23587,Ricardo Barbosa Carvalho,55,Oeste,Dependente (23586),Ativada,Dentro da validade,,,Sim
23588,Gustavo Azevedo Carvalho,37,Oeste,Dependente (23586),Desativada,Dentro da validade,,,Sim
23589,Juliana Lima Carvalho,54,Oeste,Dependente (23586),Desativada,Fora da validade,2024-10-01,2034-09-29,Sim
23590,Daniela Sousa Carvalho,33,Oeste,Dependente (23586),Ativada,Fora da validade,,,Sim
23591,Ricardo Barbosa Carvalho,9,Oeste,Dependente (23586),Desativada,Fora da validade,,,Sim
23592,Amanda Dias,60,Sul,Plano de 5 anos,Ativada,Fora da validade,2024-02-06,2029-02-04,Não
23593,Ana Costa Dias,23,Sul,Dependente (23592),Ativada,Dentro da validade,,,Sim
23594,Adriana Farias Dias,49,Sul,Dependente (23592),Ativada,Fora da validade,,,Sim
23595,Maria Santos Dias,58,Sul,Dependente (23592),Desativada,Dentro da validade,,,Sim
23596,Vanessa Correia Dias,27,Sul,Dependente (23592),Ativada,Fora da validade,2024-02-06,2029-02-04,Sim
23597,Carolina Freitas,38,Oeste,Plano de 5 anos,Ativada,Dentro da validade,2024-06-01,2029-05-31,Não
23598,Lucia Ferreira Freitas,26,Oeste,Dependente (23597),Ativada,Dentro da validade,,,Sim
23599,Gustavo Azevedo Freitas,33,Oeste,Dependente (23597),Ativada,Dentro da validade,,,Sim
23600,Beatriz Cardoso,61,Oeste,Plano de 5 anos,Ativada,Fora da validade,2024-09-17,2029-09-16,Sim
23601,Silvia Cavalcanti Cardoso,40,Oeste,Dependente (23600),Ativada,Dentro da validade,,,Sim
23602,Gabriel Ramos Cardoso,32,Oeste,Dependente (23600),Desativada,Dentro da validade,,,Sim
23603,Paula Melo Cardoso,40,Oeste,Dependente (23600),Ativada,Dentro da validade,,,Sim
23604,Thiago Monteiro Cardoso,8,Oeste,Dependente (23600),Desativada,Fora da validade,2024-09-17,2029-09-16,Sim
23605,Vinicius Torres Cardoso,57,Oeste,Dependente (23600),Ativada,Dentro da validade,2024-09-17,2029-09-16,Sim
23606,Vinicius Torres,48,Oeste,Plano de 10 anos,Ativada,Fora da validade,2024-10-23,2034-10-21,Não
23607,Maria Santos,61,Oeste,Plano de 10 anos,Desativada,Dentro da validade,2024-05-15,2034-05-13,Não
23608,Marcelo Rezende,51,Oeste,Sem Contrato,Desativada,Dentro da validade,2024-04-10,2025-04-10,Sim
23609,Fernanda Gomes,61,Oeste,Sem Contrato,Ativada,Fora da validade,2024-05-12,2025-05-12,Não
23610,Leonardo Vieira,39,Oeste,Sem Contrato,Ativada,Dentro da validade,2024-11-07,2025-11-07,Não
23611,Monica Batista,46,Oeste,Sem Contrato,Desativada,Dentro da validade,2024-09-08,2025-09-08,Não
23612,Henrique Lopes,62,Sul,Sem Contrato,Ativada,Dentro da validade,2024-10-23,2025-10-23,Sim
23613,Ricardo Barbosa,52,Oeste,Sem Contrato,Ativada,Fora da validade,2024-04-14,2025-04-14,Sim
23614,Renata Campos Barbosa,57,Oeste,Dependente (23613),Desativada,Dentro da validade,,,Sim
23615,Paula Melo,59,Oeste,Plano de 5 anos,Desativada,Fora da validade,2024-11-16,2029-11-15,Sim
23616,Isabela Castro Melo,27,Oeste,Dependente (23615),Ativada,Fora da validade,,,Sim
23617,Roberto Martins,47,Oeste,Plano de 5 anos,Desativada,Dentro da validade,2024-08-27,2029-08-26,Não
23618,Bruna Ribeiro Martins,35,Oeste,Dependente (23617),Ativada,Dentro da validade,,,Sim
23619,Simone Fonseca Martins,18,Oeste,Dependente (23617),Ativada,Fora da validade,,,Sim
23620,Gustavo Azevedo Martins,36,Oeste,Dependente (23617),Desativada,Dentro da validade,,,Sim
23621,Lucas Teixeira,35,Oeste,Plano de 10 anos,Ativada,Dentro da validade,2024-07-07,2034-07-05,Não
23622,Vanessa Correia Teixeira,25,Oeste,Dependente (23621),Desativada,Dentro da validade,,,Sim
23623,Adriana Farias Teixeira,45,Oeste,Dependente (23621),Ativada,Dentro da validade,,,Sim
23624,José Carvalho Teixeira,27,Oeste,Dependente (23621),Ativada,Dentro da validade,,,Sim
23625,Cristina Machado Teixeira,56,Oeste,Dependente (23621),Ativada,Fora da validade,,,Sim
23626,Carlos Souza Teixeira,9,Oeste,Dependente (23621),Ativada,Dentro da validade,2024-07-07,2034-07-05,Sim
23627,Adriana Farias,62,Sul,Sem Contrato,Desativada,Dentro da validade,2024-10-12,2025-10-12,Sim
23628,Juliana Lima Farias,60,Sul,Dependente (23627),Ativada,Dentro da validade,2024-10-12,2025-10-12,Sim
23629,José Carvalho Farias,57,Sul,Dependente (23627),Ativada,Dentro da validade,,,Sim
23630,Raquel Pires Farias,63,Sul,Dependente (23627),Desativada,Dentro da validade,,,Sim
23631,Isabela Castro,25,Oeste,Sem Contrato,Desativada,Dentro da validade,2024-06-27,2025-06-27,Não
23632,Marcelo Rezende Castro,49,Oeste,Dependente (23631),Desativada,Dentro da validade,2024-06-27,2025-06-27,Sim
23633,Roberto Martins Castro,34,Oeste,Dependente (23631),Ativada,Fora da validade,2024-06-27,2025-06-27,Sim
23634,Carolina Freitas Castro,65,Oeste,Dependente (23631),Ativada,Fora da validade,2024-06-27,2025-06-27,Sim
23635,Renata Campos,48,Oeste,Sem Contrato,Desativada,Dentro da validade,2024-11-02,2025-11-02,Não
23636,Ana Costa Campos,55,Oeste,Dependente (23635),Desativada,Dentro da validade,,,Sim
23637,Cristina Machado Campos,58,Oeste,Dependente (23635),Ativada,Dentro da validade,,,Sim
23638,José Carvalho,59,Oeste,Plano de 10 anos,Desativada,Dentro da validade,2024-03-17,2034-03-15,Sim
23639,Simone Fonseca Carvalho,57,Oeste,Dependente (23638),Ativada,Fora da validade,2024-03-17,2034-03-15,Sim
23640,Leticia Cunha Carvalho,28,Oeste,Dependente (23638),Ativada,Dentro da validade,,,Sim
23641,Leticia Cunha,56,Oeste,Plano de 10 anos,Ativada,Fora da validade,2024-08-04,2034-08-02,Sim
23642,Beatriz Cardoso Cunha,26,Oeste,Dependente (23641),Desativada,Dentro da validade,,,Sim
23643,Rafael Mendes Cunha,50,Oeste,Dependente (23641),Ativada,Fora da validade,,,Sim
23644,Ricardo Barbosa Cunha,57,Oeste,Dependente (23641),Desativada,Fora da validade,,,Sim
23645,Ricardo Barbosa Cunha,56,Oeste,Dependente (23641),Desativada,Fora da validade,,,Sim
23646,Rodrigo Neves Cunha,61,Oeste,Dependente (23641),Ativada,Dentro da validade,,,Sim
23647,Thiago Monteiro,52,Oeste,Plano de 10 anos,Ativada,Dentro da validade,2024-06-07,2034-06-05,Não
23648,Pedro Oliveira,46,Norte,Sem Contrato,Desativada,Fora da validade,2024-05-19,2025-05-19,Sim
23649,Carolina Freitas Oliveira,15,Norte,Dependente (23648),Desativada,Dentro da validade,,,Sim
23650,Vanessa Correia,24,Oeste,Plano de 10 anos,Desativada,Dentro da validade,2024-02-18,2034-02-15,Não
23651,Adriana Farias Correia,20,Oeste,Dependente (23650),Ativada,Fora da validade,,,Sim
23652,Bruna Ribeiro,19,Oeste,Plano de 10 anos,Ativada,Fora da validade,2024-06-23,2034-06-21,Não
23653,Lucas Teixeira Ribeiro,48,Oeste,Dependente (23652),Desativada,Fora da validade,,,Sim
23654,Renata Campos Ribeiro,12,Oeste,Dependente (23652),Ativada,Fora da validade,2024-06-23,2034-06-21,Sim
23655,Rafael Mendes Ribeiro,13,Oeste,Dependente (23652),Desativada,Fora da validade,,,Sim
23656,Simone Fonseca Ribeiro,58,Oeste,Dependente (23652),Desativada,Fora da validade,,,Sim
23657,Maria Santos Ribeiro,32,Oeste,Dependente (23652),Ativada,Dentro da validade,,,Sim
23658,Rafael Mendes Ribeiro,39,Oeste,Dependente (23652),Desativada,Fora da validade,2024-06-23,2034-06-21,Sim
23659,Mariana Duarte,18,Oeste,Plano de 10 anos,Desativada,Dentro da validade,2024-10-25,2034-10-23,Não
23660,Fernanda Gomes Duarte,10,Oeste,Dependente (23659),Desativada,Fora da validade,,,Sim
23661,Mariana Duarte Duarte,14,Oeste,Dependente (23659),Ativada,Dentro da validade,,,Sim
23662,Cristina Machado Duarte,31,Oeste,Dependente (23659),Ativada,Fora da validade,2024-10-25,2034-10-23,Sim
23663,Gabriel Ramos Duarte,60,Oeste,Dependente (23659),Desativada,Dentro da validade,,,Sim
23664,Rafael Mendes Duarte,37,Oeste,Dependente (23659),Ativada,Dentro da validade,,,Sim
23665,Mariana Duarte Duarte,55,Oeste,Dependente (23659),Desativada,Fora da validade,,,Sim
23666,Paulo Nascimento,62,Oeste,Sem Contrato,Ativada,Dentro da validade,2024-05-16,2025-05-16,Não
23667,Eduardo Moura Nascimento,32,Oeste,Dependente (23666),Ativada,Dentro da validade,,,Sim
23668,Diego Pinto,45,Oeste,Sem Contrato,Desativada,Dentro da validade,2024-07-17,2025-07-17,Sim
23669,Leticia Cunha Pinto,56,Oeste,Dependente (23668),Desativada,Fora da validade,,,Sim
23670,Paula Melo Pinto,62,Oeste,Dependente (23668),Ativada,Dentro da validade,,,Sim
23671,Cristina Machado Pinto,65,Oeste,Dependente (23668),Desativada,Fora da validade,,,Sim
23672,Ana Costa,32,Oeste,Sem Contrato,Ativada,Dentro da validade,2024-02-29,2025-02-28,Não
23673,Ricardo Barbosa,29,Oeste,Sem Contrato,Desativada,Fora da validade,2024-04-06,2025-04-06,Sim
23674,Ana Costa Barbosa,27,Oeste,Dependente (23673),Desativada,Fora da validade,,,Sim
23675,Fernanda Gomes,40,Oeste,Plano de 5 anos,Ativada,Fora da validade,2024-12-12,2029-12-11,Sim
23676,Adriana Farias,47,Oeste,Plano de 10 anos,Ativada,Fora da validade,2024-01-05,2034-01-02,Não
23677,Fernanda Gomes Farias,31,Oeste,Dependente (23676),Ativada,Fora da validade,,,Sim
23678,Rodrigo Neves Farias,19,Oeste,Dependente (23676),Ativada,Dentro da validade,,,Sim
23679,Roberto Martins,38,Oeste,Sem Contrato,Desativada,Fora da validade,2024-01-20,2025-01-19,Sim
23680,Maria Santos Martins,51,Oeste,Dependente (23679),Desativada,Fora da validade,,,Sim
23681,Marcos Pereira Martins,8,Oeste,Dependente (23679),Ativada,Dentro da validade,2024-01-20,2025-01-19,Sim
23682,Henrique Lopes Martins,25,Oeste,Dependente (23679),Desativada,Dentro da validade,,,Sim
23683,Monica Batista,49,Oeste,Plano de 10 anos,Desativada,Dentro da validade,2024-02-09,2034-02-06,Não
23684,Adriana Farias Batista,62,Oeste,Dependente (23683),Ativada,Dentro da validade,,,Sim
23685,Patricia Rocha Batista,36,Oeste,Dependente (23683),Ativada,Fora da validade,2024-02-09,2034-02-06,Sim
23686,Pedro Oliveira Batista,16,Oeste,Dependente (23683),Desativada,Fora da validade,,,Sim
23687,Paulo Nascimento Batista,31,Oeste,Dependente (23683),Desativada,Dentro da validade,2024-02-09,2034-02-06,Sim
23688,Vinicius Torres Batista,64,Oeste,Dependente (23683),Ativada,Dentro da validade,,,Sim
23689,Camila Rodrigues Batista,50,Oeste,Dependente (23683),Ativada,Fora da validade,2024-02-09,2034-02-06,Sim
23690,Paula Melo,32,Norte,Plano de 5 anos,Ativada,Dentro da validade,2024-10-26,2029-10-25,Não
23691,Gustavo Azevedo Melo,13,Norte,Dependente (23690),Ativada,Dentro da validade,,,Sim
23692,Paulo Nascimento,68,Oeste,Plano de 5 anos,Desativada,Dentro da validade,2024-11-22,2029-11-21,Não
23693,Ana Costa Nascimento,57,Oeste,Dependente (23692),Ativada,Dentro da validade,,,Sim
23694,Cristina Machado Nascimento,48,Oeste,Dependente (23692),Desativada,Dentro da validade,,,Sim
23695,Bruna Ribeiro Nascimento,61,Oeste,Dependente (23692),Desativada,Fora da validade,,,Sim
23696,Monica Batista,54,Oeste,Sem Contrato,Ativada,Dentro da validade,2024-12-26,2025-12-26,Não
23697,Lucas Teixeira Batista,45,Oeste,Dependente (23696),Ativada,Dentro da validade,,,Sim
23698,Eduardo Moura Batista,25,Oeste,Dependente (23696),Ativada,Dentro da validade,,,Sim
23699,Camila Rodrigues Batista,21,Oeste,Dependente (23696),Ativada,Fora da validade,,,Sim
23700,Silvia Cavalcanti,27,Oeste,Plano de 10 anos,Ativada,Dentro da validade,2024-01-03,2033-12-31,Não
23701,Beatriz Cardoso Cavalcanti,14,Oeste,Dependente (23700),Desativada,Dentro da validade,,,Sim
23702,João Silva Cavalcanti,14,Oeste,Dependente (23700),Ativada,Dentro da validade,,,Sim
23703,Maria Santos,54,Norte,Sem Contrato,Ativada,Fora da validade,2024-12-22,2025-12-22,Não
23704,Paulo Nascimento Santos,18,Norte,Dependente (23703),Ativada,Dentro da validade,,,Sim
23705,Vanessa Correia,49,Oeste,Plano de 5 anos,Ativada,Dentro da validade,2024-07-16,2029-07-15,Não
23706,Renata Campos Correia,32,Oeste,Dependente (23705),Ativada,Dentro da validade,2024-07-16,2029-07-15,Sim
23707,Daniela Sousa,33,Oeste,Plano de 5 anos,Ativada,Dentro da validade,2024-10-29,2029-10-28,Não
23708,Renata Campos,42,Oeste,Plano de 10 anos,Ativada,Fora da validade,2024-05-09,2034-05-07,Sim
23709,Gabriel Ramos Campos,32,Oeste,Dependente (23708),Ativada,Dentro da validade,,,Sim
23710,Felipe Barros Campos,19,Oeste,Dependente (23708),Desativada,Fora da validade,,,Sim
23711,Monica Batista Campos,34,Oeste,Dependente (23708),Ativada,Fora da validade,,,Sim
23712,Ana Costa Campos,52,Oeste,Dependente (23708),Ativada,Dentro da validade,,,Sim
23713,Cristina Machado Campos,36,Oeste,Dependente (23708),Desativada,Fora da validade,2024-05-09,2034-05-07,Sim
23714,Adriana Farias,49,Sul,Sem Contrato,Ativada,Dentro da validade,2024-04-20,2025-04-20,Não
23715,Carolina Freitas Farias,15,Sul,Dependente (23714),Ativada,Fora da validade,,,Sim
23716,Raquel Pires,65,Oeste,Plano de 10 anos,Ativada,Dentro da validade,2024-08-29,2034-08-27,Não
23717,Isabela Castro Pires,15,Oeste,Dependente (23716),Desativada,Fora da validade,2024-08-29,2034-08-27,Sim
23718,Anderson Coelho Pires,56,Oeste,Dependente (23716),Desativada,Dentro da validade,,,Sim
23719,Roberto Martins Pires,12,Oeste,Dependente (23716),Desativada,Dentro da validade,,,Sim
23720,Cristina Machado Pires,22,Oeste,Dependente (23716),Ativada,Fora da validade,,,Sim
23721,Simone Fonseca,53,Oeste,Plano de 5 anos,Ativada,Fora da validade,2024-12-24,2029-12-23,Não
23722,Lucas Teixeira Fonseca,11,Oeste,Dependente (23721),Ativada,Dentro da validade,,,Sim
23723,Alexandre Araújo Fonseca,25,Oeste,Dependente (23721),Desativada,Dentro da validade,,,Sim
23724,Diego Pinto Fonseca,19,Oeste,Dependente (23721),Ativada,Dentro da validade,,,Sim
23725,Diego Pinto Fonseca,11,Oeste,Dependente (23721),Desativada,Dentro da validade,,,Sim
23726,Leonardo Vieira Fonseca,22,Oeste,Dependente (23721),Desativada,Dentro da validade,,,Sim
23727,Marcelo Rezende,60,Sul,Plano de 5 anos,Desativada,Fora da validade,2024-09-06,2029-09-05,Não
23728,Tatiana Moreira Rezende,55,Sul,Dependente (23727),Desativada,Dentro da validade,,,Sim
23729,Pedro Oliveira,54,Oeste,Plano de 5 anos,Ativada,Fora da validade,2024-09-11,2029-09-10,Não
23730,Carlos Souza Oliveira,59,Oeste,Dependente (23729),Ativada,Fora da validade,,,Sim
23731,José Carvalho,44,Oeste,Plano de 5 anos,Ativada,Fora da validade,2024-11-09,2029-11-08,Sim
23732,José Carvalho Carvalho,28,Oeste,Dependente (23731),Ativada,Fora da validade,2024-11-09,2029-11-08,Sim
23733,Fernanda Gomes Carvalho,25,Oeste,Dependente (23731),Desativada,Fora da validade,,,Sim
23734,Henrique Lopes Carvalho,8,Oeste,Dependente (23731),Desativada,Dentro da validade,,,Sim
23735,José Carvalho Carvalho,7,Oeste,Dependente (23731),Desativada,Dentro da validade,,,Sim
23736,Rafael Mendes,26,Oeste,Plano de 10 anos,Desativada,Dentro da validade,2024-01-21,2034-01-18,Não
23737,Bruna Ribeiro,65,Oeste,Sem Contrato,Desativada,Fora da validade,2024-03-14,2025-03-14,Sim
23738,Beatriz Cardoso,23,Oeste,Plano de 5 anos,Ativada,Fora da validade,2024-12-11,2029-12-10,Não
23739,Lucas Teixeira Cardoso,31,Oeste,Dependente (23738),Ativada,Dentro da validade,,,Sim
23740,Vinicius Torres Cardoso,7,Oeste,Dependente (23738),Desativada,Dentro da validade,,,Sim
23741,Raquel Pires Cardoso,43,Oeste,Dependente (23738),Ativada,Fora da validade,,,Sim
23742,Diego Pinto Cardoso,49,Oeste,Dependente (23738),Desativada,Fora da validade,,,Sim
23743,Beatriz Cardoso,62,Oeste,Plano de 5 anos,Ativada,Fora da validade,2024-04-13,2029-04-12,Não
23744,Amanda Dias Cardoso,32,Oeste,Dependente (23743),Ativada,Fora da validade,2024-04-13,2029-04-12,Sim
23745,Tatiana Moreira Cardoso,57,Oeste,Dependente (23743),Ativada,Dentro da validade,,,Sim
23746,Bruna Ribeiro Cardoso,7,Oeste,Dependente (23743),Desativada,Dentro da validade,,,Sim
23747,Rodrigo Neves Cardoso,13,Oeste,Dependente (23743),Ativada,Fora da validade,,,Sim
23748,Rafael Mendes,23,Oeste,Plano de 10 anos,Desativada,Dentro da validade,2024-02-20,2034-02-17,Não
23749,Marcos Pereira Mendes,29,Oeste,Dependente (23748),Desativada,Dentro da validade,,,Sim
23750,Felipe Barros,41,Oeste,Sem Contrato,Ativada,Fora da validade,2024-10-03,2025-10-03,Não
23751,José Carvalho Barros,62,Oeste,Dependente (23750),Ativada,Fora da validade,,,Sim
23752,Isabela Castro Barros,40,Oeste,Dependente (23750),Ativada,Dentro da validade,,,Sim
23753,Silvia Cavalcanti,49,Norte,Plano de 10 anos,Ativada,Dentro da validade,2024-10-04,2034-10-02,Não
23754,Fernando Alves Cavalcanti,12,Norte,Dependente (23753),Desativada,Dentro da validade,,,Sim
23755,Mariana Duarte Cavalcanti,19,Norte,Dependente (23753),Desativada,Dentro da validade,,,Sim
23756,Gabriel Ramos Cavalcanti,55,Norte,Dependente (23753),Desativada,Fora da validade,,,Sim
23757,Gabriel Ramos,40,Oeste,Plano de 10 anos,Ativada,Dentro da validade,2024-12-12,2034-12-10,Não
23758,Henrique Lopes Ramos,15,Oeste,Dependente (23757),Ativada,Fora da validade,,,Sim
23759,Vinicius Torres Ramos,12,Oeste,Dependente (23757),Desativada,Fora da validade,,,Sim
23760,Ricardo Barbosa Ramos,27,Oeste,Dependente (23757),Ativada,Fora da validade,,,Sim
23761,Gabriel Ramos Ramos,12,Oeste,Dependente (23757),Desativada,Dentro da validade,,,Sim
23762,Gustavo Azevedo,62,Oeste,Plano de 10 anos,Desativada,Fora da validade,2024-09-05,2034-09-03,Não
23763,Vinicius Torres Azevedo,64,Oeste,Dependente (23762),Desativada,Dentro da validade,,,Sim
23764,Paula Melo Azevedo,13,Oeste,Dependente (23762),Ativada,Fora da validade,,,Sim
23765,José Carvalho Azevedo,56,Oeste,Dependente (23762),Ativada,Fora da validade,,,Sim
23766,Isabela Castro Azevedo,60,Oeste,Dependente (23762),Ativada,Dentro da validade,,,Sim
23767,Lucia Ferreira Azevedo,26,Oeste,Dependente (23762),Desativada,Dentro da validade,,,Sim
23768,Fernanda Gomes Azevedo,59,Oeste,Dependente (23762),Ativada,Dentro da validade,,,Sim
23769,Leonardo Vieira,21,Oeste,Plano de 10 anos,Desativada,Fora da validade,2024-05-01,2034-04-29,Não
23770,Tatiana Moreira Vieira,59,Oeste,Dependente (23769),Desativada,Fora da validade,,,Sim
23771,Eduardo Moura,63,Oeste,Plano de 5 anos,Desativada,Dentro da validade,2024-03-30,2029-03-29,Não
23772,Rafael Mendes Moura,41,Oeste,Dependente (23771),Desativada,Fora da validade,,,Sim
23773,Monica Batista,66,Sul,Plano de 5 anos,Ativada,Dentro da validade,2024-08-13,2029-08-12,Sim
23774,Rafael Mendes Batista,31,Sul,Dependente (23773),Desativada,Fora da validade,,,Sim
23775,Adriana Farias Batista,27,Sul,Dependente (23773),Desativada,Dentro da validade,,,Sim
23776,Renata Campos,60,Norte,Plano de 10 anos,Desativada,Fora da validade,2024-04-11,2034-04-09,Sim
23777,Fernando Alves,28,Oeste,Plano de 5 anos,Ativada,Dentro da validade,2024-12-19,2029-12-18,Sim
23778,Leticia Cunha Alves,38,Oeste,Dependente (23777),Ativada,Dentro da validade,2024-12-19,2029-12-18,Sim
23779,Camila Rodrigues Alves,18,Oeste,Dependente (23777),Desativada,Dentro da validade,,,Sim
23780,João Silva,20,Sul,Plano de 10 anos,Desativada,Fora da validade,2024-07-24,2034-07-22,Não
23781,Juliana Lima Silva,42,Sul,Dependente (23780),Ativada,Dentro da validade,,,Sim
23782,Fernanda Gomes Silva,26,Sul,Dependente (23780),Ativada,Fora da validade,,,Sim
23783,Gabriel Ramos Silva,16,Sul,Dependente (23780),Desativada,Fora da validade,,,Sim
23784,Cristina Machado Silva,12,Sul,Dependente (23780),Ativada,Fora da validade,,,Sim
23785,Juliana Lima Silva,44,Sul,Dependente (23780),Desativada,Dentro da validade,2024-07-24,2034-07-22,Sim
23786,Leticia Cunha Silva,7,Sul,Dependente (23780),Desativada,Dentro da validade,,,Sim
23787,Bruna Ribeiro,47,Oeste,Plano de 10 anos,Desativada,Dentro da validade,2024-05-14,2034-05-12,Não
23788,Marcos Pereira Ribeiro,54,Oeste,Dependente (23787),Ativada,Dentro da validade,,,Sim
23789,Monica Batista Ribeiro,51,Oeste,Dependente (23787),Ativada,Dentro da validade,,,Sim
23790,Juliana Lima Ribeiro,42,Oeste,Dependente (23787),Desativada,Dentro da validade,,,Sim
23791,Gabriel Ramos Ribeiro,47,Oeste,Dependente (23787),Ativada,Dentro da validade,,,Sim
23792,Cristina Machado Ribeiro,37,Oeste,Dependente (23787),Ativada,Fora da validade,2024-05-14,2034-05-12,Sim
23793,Henrique Lopes,37,Oeste,Plano de 10 anos,Desativada,Dentro da validade,2024-02-24,2034-02-21,Não
23794,Thiago Monteiro Lopes,42,Oeste,Dependente (23793),Desativada,Fora da validade,,,Sim
23795,Alexandre Araújo,42,Sul,Sem Contrato,Ativada,Dentro da validade,2024-07-07,2025-07-07,Não
23796,Beatriz Cardoso Araújo,25,Sul,Dependente (23795),Desativada,Fora da validade,,,Sim
23797,Carolina Freitas Araújo,15,Sul,Dependente (23795),Desativada,Fora da validade,,,Sim
23798,Vanessa Correia,52,Oeste,Sem Contrato,Ativada,Fora da validade,2024-12-07,2025-12-07,Não
23799,Fernando Alves Correia,51,Oeste,Dependente (23798),Desativada,Fora da validade,2024-12-07,2025-12-07,Sim
23800,Pedro Oliveira Correia,37,Oeste,Dependente (23798),Desativada,Dentro da validade,2024-12-07,2025-12-07,Sim
23801,Monica Batista Correia,20,Oeste,Dependente (23798),Desativada,Fora da validade,,,Sim
23802,Cristina Machado,50,Norte,Sem Contrato,Desativada,Fora da validade,2024-05-25,2025-05-25,Não
23803,Juliana Lima Machado,16,Norte,Dependente (23802),Ativada,Dentro da validade,,,Sim
23804,Ana Costa Machado,18,Norte,Dependente (23802),Desativada,Fora da validade,,,Sim
23805,Ricardo Barbosa Machado,33,Norte,Dependente (23802),Desativada,Dentro da validade,,,Sim
23806,Carolina Freitas,40,Oeste,Sem Contrato,Ativada,Fora da validade,2024-05-14,2025-05-14,Não
23807,Felipe Barros Freitas,51,Oeste,Dependente (23806),Desativada,Dentro da validade,,,Sim
23808,Rafael Mendes Freitas,53,Oeste,Dependente (23806),Desativada,Fora da validade,2024-05-14,2025-05-14,Sim
23809,Marcelo Rezende,63,Oeste,Plano de 10 anos,Ativada,Dentro da validade,2024-07-23,2034-07-21,Não
23810,Lucia Ferreira Rezende,63,Oeste,Dependente (23809),Ativada,Dentro da validade,,,Sim
23811,Amanda Dias Rezende,39,Oeste,Dependente (23809),Ativada,Fora da validade,,,Sim
23812,Lucas Teixeira Rezende,58,Oeste,Dependente (23809),Ativada,Dentro da validade,,,Sim
23813,Daniela Sousa Rezende,61,Oeste,Dependente (23809),Ativada,Dentro da validade,,,Sim
23814,Leonardo Vieira Rezende,52,Oeste,Dependente (23809),Ativada,Fora da validade,2024-07-23,2034-07-21,Sim
23815,Tatiana Moreira,37,Oeste,Plano de 10 anos,Ativada,Dentro da validade,2024-12-22,2034-12-20,Não
23816,Marcos Pereira Moreira,29,Oeste,Dependente (23815),Ativada,Fora da validade,,,Sim
23817,Simone Fonseca Moreira,46,Oeste,Dependente (23815),Ativada,Dentro da validade,,,Sim
23818,Patricia Rocha Moreira,6,Oeste,Dependente (23815),Ativada,Dentro da validade,,,Sim
23819,Marcelo Rezende Moreira,64,Oeste,Dependente (23815),Ativada,Fora da validade,2024-12-22,2034-12-20,Sim
23820,Ana Costa Moreira,18,Oeste,Dependente (23815),Ativada,Dentro da validade,,,Sim
23821,Monica Batista,38,Oeste,Sem Contrato,Desativada,Dentro da validade,2024-11-22,2025-11-22,Sim
23822,José Carvalho,39,Oeste,Sem Contrato,Ativada,Dentro da validade,2024-02-24,2025-02-23,Não
23823,Pedro Oliveira Carvalho,44,Oeste,Dependente (23822),Ativada,Fora da validade,,,Sim
23824,Fernanda Gomes Carvalho,32,Oeste,Dependente (23822),Ativada,Dentro da validade,,,Sim
23825,Tatiana Moreira Carvalho,56,Oeste,Dependente (23822),Ativada,Dentro da validade,,,Sim
23826,Maria Santos,61,Oeste,Plano de 10 anos,Ativada,Fora da validade,2024-04-16,2034-04-14,Sim
23827,Roberto Martins Santos,49,Oeste,Dependente (23826),Ativada,Dentro da validade,2024-04-16,2034-04-14,Sim
23828,Fernando Alves Santos,16,Oeste,Dependente (23826),Ativada,Fora da validade,,,Sim
23829,Henrique Lopes Santos,62,Oeste,Dependente (23826),Ativada,Dentro da validade,2024-04-16,2034-04-14,Sim
23830,Marcelo Rezende,62,Oeste,Sem Contrato,Desativada,Dentro da validade,2024-02-20,2025-02-19,Sim
23831,Fernando Alves Rezende,6,Oeste,Dependente (23830),Ativada,Dentro da validade,,,Sim
23832,Paula Melo,51,Sul,Plano de 10 anos,Ativada,Fora da validade,2024-03-26,2034-03-24,Não
23833,Leonardo Vieira Melo,34,Sul,Dependente (23832),Desativada,Dentro da validade,,,Sim
23834,Lucia Ferreira Melo,21,Sul,Dependente (23832),Ativada,Fora da validade,2024-03-26,2034-03-24,Sim
23835,Bruna Ribeiro Melo,38,Sul,Dependente (23832),Ativada,Dentro da validade,2024-03-26,2034-03-24,Sim
23836,Pedro Oliveira,35,Norte,Plano de 5 anos,Ativada,Dentro da validade,2024-01-13,2029-01-11,Não
23837,Vanessa Correia Oliveira,63,Norte,Dependente (23836),Desativada,Dentro da validade,,,Sim
23838,Beatriz Cardoso Oliveira,5,Norte,Dependente (23836),Ativada,Fora da validade,,,Sim
23839,Camila Rodrigues,27,Oeste,Sem Contrato,Ativada,Dentro da validade,2024-11-23,2025-11-23,Não
23840,Carolina Freitas Rodrigues,9,Oeste,Dependente (23839),Ativada,Dentro da validade,2024-11-23,2025-11-23,Sim
23841,Marcelo Rezende,40,Oeste,Plano de 5 anos,Desativada,Dentro da validade,2024-02-08,2029-02-06,Não
23842,Ana Costa,20,Norte,Plano de 5 anos,Ativada,Dentro da validade,2024-07-23,2029-07-22,Sim
23843,Silvia Cavalcanti Costa,16,Norte,Dependente (23842),Ativada,Dentro da validade,,,Sim
23844,Patricia Rocha Costa,52,Norte,Dependente (23842),Ativada,Dentro da validade,2024-07-23,2029-07-22,Sim
